,Total Household Income,Region,Total Food Expenditure,Main Source of Income,Agricultural Household indicator,Bread and Cereals Expenditure,Total Rice Expenditure,Meat Expenditure,Total Fish and  marine products Expenditure,Fruit Expenditure,Vegetables Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,"Clothing, Footwear and Other Wear Expenditure",Housing and water Expenditure,Imputed House Rental Value,Medical Care Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Miscellaneous Goods and Services Expenditure,Special Occasions Expenditure,Crop Farming and Gardening expenses,Total Income from Entrepreneurial Acitivites,Household Head Sex,Household Head Age,Household Head Marital Status,Household Head Highest Grade Completed,Household Head Job or Business Indicator,Household Head Occupation,Household Head Class of Worker,Type of Household,Total Number of Family members,Members with age less than 5 year old,Members with age 5 - 17 years old,Total number of family members employed,Type of Building/House,Type of Roof,Type of Walls,House Floor Area,House Age,Number of bedrooms,Tenure Status,Toilet Facilities,Electricity,Main Source of Water Supply,Number of Television,Number of CD/VCD/DVD,Number of Component/Stereo set,Number of Refrigerator/Freezer,Number of Washing Machine,Number of Airconditioner,"Number of Car, Jeep, Van",Number of Landline/wireless telephones,Number of Cellular phone,Number of Personal Computer,Number of Stove with Oven/Gas Range,Number of Motorized Banca,Number of Motorcycle/Tricycle
14065,273445,VI - Western Visayas,53662,Enterpreneurial Activities,0,20594,17880,2778,4170,2660,5081,5200,0,5954,3886,36030,19800,863,5772,5016,1560,6348,6000,0,135826,Male,35,Married,Third Year College,With Job/Business,General managers/managing proprietors in wholesale and retail trade,Self-employed wihout any employee,Single Family,5,0,3,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,43,4,2,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,1,0,1,0,0,0,0,2,0,0,0,1
31704,324384,XII - SOCCSKSARGEN,96606,Enterpreneurial Activities,0,22032,15927,11386,16477,2783,5006,8183,980,24366,12030,57582,36000,4300,11340,8262,6890,19626,6000,0,253170,Male,52,Married,Engineering and Engineering Trades Programs,With Job/Business,General managers/managing proprietors of business services,Self-employed wihout any employee,Extended Family,3,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,76,25,2,Own or owner-like possession of house and lot,"Water-sealed, other depository, used exclusively by household",1,"Own use, faucet, community water system",1,1,1,1,1,0,0,0,4,2,0,0,1
13000,112619,VIII - Eastern Visayas,55997,Other sources of Income,0,18254,16880,1212,17206,1935,5714,384,0,0,5574,19152,15000,3188,3180,0,100,4242,4323,10545,10545,Male,68,Married,Elementary Graduate,With Job/Business,Government administrators (including career executive service officers),Worked for government/government corporation,Extended Family,3,0,1,1,Single house,Mixed but predominantly light materials,Very Light,18,35,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, shared with other household",1,"Own use, faucet, community water system",0,1,0,0,0,0,0,0,0,0,0,0,0
4642,106133,X - Northern Mindanao,49047,Wage/Salaries,0,20518,13209,3593,6080,2400,1505,2012,720,0,3611,15060,7200,926,10428,414,421,2466,153,31964,31964,Male,31,Married,Elementary Graduate,With Job/Business,Corn farmers,Self-employed wihout any employee,Two or More Nonrelated Persons/Members,5,1,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Light,20,5,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Protected spring, river, stream, etc",1,0,0,0,0,0,0,0,1,0,0,0,1
8678,90600,IVA - CALABARZON,49372,Wage/Salaries,0,13114,8970,5440,4264,450,1733,16330,1508,0,60,10206,0,255,17370,780,0,2394,0,0,0,Male,55,Divorced/Separated,Grade 5,With Job/Business,Painters and related workers,Worked for private establishment,Single Family,1,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,10,4,1,Rent house/room including lot,"Water-sealed, sewer septic tank, shared with other household",1,"Shared, faucet, community water system",1,0,0,0,0,0,0,0,1,0,0,0,0
36548,99110,IX - Zasmboanga Peninsula,35125,Enterpreneurial Activities,1,9674,840,3377,2190,1146,3441,430,0,234,2120,6792,3600,1982,5136,300,850,2790,3100,0,87070,Male,28,Married,Grade 3,With Job/Business,Charcoal makers and related workers,Self-employed wihout any employee,Single Family,4,2,0,0,Single house,"Light material (cogon,nipa,anahaw)",Light,20,15,1,Own or owner-like possession of house and lot,Closed pit,1,Dug well,0,1,0,0,0,0,0,0,2,0,0,0,0
24279,238810,VII - Central Visayas,84821,Wage/Salaries,1,19096,8000,13682,23110,2310,3881,8580,26460,8145,1130,27084,15000,2150,10422,5772,0,3792,400,0,83480,Male,51,Widowed,Grade 3,With Job/Business,Inland and coastal waters fishermen,Self-employed wihout any employee,Single Family,2,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,35,26,2,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,0,0,0,0,0,1,0,0,0,0
38226,110875,NCR,71946,Wage/Salaries,2,12236,8398,2838,7634,665,2488,20290,582,312,3315,27720,15000,589,5850,2616,820,10344,1300,0,0,Male,28,Married,High School Graduate,With Job/Business,Wood products machine operators,Worked for private establishment,Single Family,4,1,1,1,Single house,Mixed but predominantly strong materials,Salvaged,20,2,1,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, shared with other household",1,"Shared, faucet, community water system",1,1,0,0,0,0,0,0,1,0,0,0,0
36416,271002,IX - Zasmboanga Peninsula,133072,Enterpreneurial Activities,0,38422,20824,4554,7350,5410,3648,51920,630,0,1405,20190,12600,1130,10548,1200,480,6294,2250,0,180000,Male,45,Married,Third Year High School,With Job/Business,Jewelry and precious metal workers,Worked for private establishment,Single Family,6,1,3,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,20,37,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,0,0,0,0,0,3,0,0,0,1
39502,185820,NCR,145643,Wage/Salaries,2,32771,28049,18987,21023,14426,6882,16583,2834,12218,4800,32916,22200,48120,24852,2880,195,5802,2000,0,0,Male,54,Married,Second Year High School,With Job/Business,Protective services workers n. e. c.,Worked for government/government corporation,Extended Family,4,0,0,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,20,6,1,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,0,0,0,0,0,0,0,10,0,1,0,0
19897,61245, ARMM,56933,Enterpreneurial Activities,1,21058,17122,1274,12172,1050,5207,4660,0,120,3318,9600,6000,1287,1920,960,0,6258,0,40290,40290,Male,27,Married,Elementary Graduate,With Job/Business,Field legumes farmers,Self-employed wihout any employee,Single Family,3,1,0,0,Single house,Mixed but predominantly strong materials,Quite Strong,35,10,1,Own or owner-like possession of house and lot,Closed pit,0,Tubed/piped shallow well,0,0,0,0,0,0,0,0,1,0,0,0,0
18181,152780, ARMM,38203,Enterpreneurial Activities,0,15347,10980,2120,6760,1270,2940,0,0,7245,4086,19680,10800,558,4320,1272,0,2262,0,0,141300,Male,66,Married,First Year High School,With Job/Business,General managers/managing proprietors in wholesale and retail trade,Self-employed wihout any employee,Single Family,2,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,324,26,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, tubed/piped deep well",1,1,0,1,0,0,0,0,1,0,0,0,0
11903,142527,XI - Davao Region,74131,Enterpreneurial Activities,1,18566,10090,10100,6062,4712,4301,16820,0,0,3645,15630,6000,500,6240,300,2380,9210,5000,56041,86617,Female,77,Widowed,No Grade Completed,With Job/Business,General managers/managing proprietors in wholesale and retail trade,Employer in own family-operated farm or business,Extended Family,5,0,2,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,33,17,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,1,0,0,0,0,1,0,0,0,0
1502,98803,V - Bicol Region,62660,Wage/Salaries,0,23598,14136,5121,8500,755,5748,6100,684,1280,2055,15786,7800,395,3918,678,905,3804,0,0,0,Male,33,Married,High School Graduate,With Job/Business,"Construction and maintenance laborers: roads, dams and similar constructions",Worked for private establishment,Single Family,5,1,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,42,12,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,0,1,0,0,0,3,0,0,0,0
7448,146665,V - Bicol Region,92670,Enterpreneurial Activities,1,43376,38310,3490,17098,1832,3665,16325,720,1560,2500,20454,9000,373,8328,492,2350,5130,3370,74166,74166,Male,58,Married,Elementary Graduate,With Job/Business,Rice farmers,Self-employed wihout any employee,Extended Family,7,0,4,1,Single house,Mixed but predominantly strong materials,Very Light,30,26,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,0,0,0,1,0,0,0,1,0,0,0,0
18467,407220, ARMM,68707,Wage/Salaries,0,36659,19993,1092,11136,1510,5810,0,0,0,7310,23760,9000,480,16080,1440,2500,14406,1000,0,0,Female,52,Widowed,Business and Administration Programs,No Job/Business,,,Extended Family,8,2,0,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,81,26,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",2,0,1,1,0,0,0,0,3,1,0,0,0
726,111338,Caraga,61638,Wage/Salaries,0,21758,20176,4212,7272,606,5204,4500,162,0,2275,9768,6000,162,4038,924,1685,3120,7800,0,34200,Male,37,Married,Elementary Graduate,With Job/Business,Motorcycle drivers,Worked for private establishment,Single Family,5,1,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,16,12,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,1,0,0,0,0,0,0,2,0,0,0,0
32814,48056,XII - SOCCSKSARGEN,15222,Enterpreneurial Activities,1,9817,7232,338,1280,220,1422,530,958,1252,190,4098,1200,776,3240,0,150,1032,500,32530,33930,Female,72,Widowed,No Grade Completed,With Job/Business,Vegetable farmers,Self-employed wihout any employee,Extended Family,3,0,1,1,Single house,"Light material (cogon,nipa,anahaw)",Light,29,6,1,"Own house, rent-free lot with consent of owner",Open pit,0,"Shared, faucet, community water system",0,0,0,0,0,0,0,0,0,0,0,0,0
6096,145196,II - Cagayan Valley,59263,Wage/Salaries,0,24780,18883,7826,8213,620,4043,7000,1212,0,4190,7350,2400,720,2244,1080,4630,4758,0,6125,6125,Female,63,Widowed,Grade 4,With Job/Business,Farmhands and laborers,Worked for private establishment,Extended Family,5,0,2,3,Single house,Salvaged/makeshift materials,Very Light,12,7,0,Own or owner-like possession of house and lot,"Water-sealed, other depository, shared with other household",1,"Shared, tubed/piped deep well",0,0,0,0,0,0,0,0,2,0,0,0,0
12962,420966,VIII - Eastern Visayas,129341,Wage/Salaries,0,54298,38431,24420,20520,1580,8080,4500,0,0,4625,48330,36000,20586,7020,3696,22670,44112,8527,0,0,Male,60,Married,High School Graduate,No Job/Business,,,Extended Family,14,2,4,4,Duplex,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,192,55,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,0,1,0,0,0,0,0,4,0,0,0,0
798,112140,Caraga,73067,Enterpreneurial Activities,1,35934,31865,10360,7488,1546,3255,1960,690,3640,5295,12276,4800,2458,4248,720,745,5436,2000,38730,56535,Male,36,Married,First Year High School,With Job/Business,Rice farmers,Employer in own family-operated farm or business,Single Family,6,2,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,22,7,2,Own or owner-like possession of house and lot,None,1,"Own use, faucet, community water system",1,0,0,1,0,0,0,0,1,0,0,0,1
36665,198467,NCR,102748,Wage/Salaries,2,26007,13394,16795,5306,776,3755,36300,690,4978,1250,38700,21000,1907,8610,6036,6190,12852,5150,0,0,Male,44,Married,High School Graduate,With Job/Business,"Composers, musicians and singers",Worked for private establishment,Single Family,5,1,2,1,Multi-unit residential,Mixed but predominantly strong materials,Quite Strong,15,59,0,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, faucet, community water system",1,1,1,0,0,0,0,0,2,0,0,0,0
35898,90394,IX - Zasmboanga Peninsula,53765,Wage/Salaries,1,23974,3210,5130,9799,920,4894,1170,540,3640,1420,8130,3600,1540,2640,0,1100,3012,0,30520,32820,Male,48,Single,Grade 4,With Job/Business,Corn farmers,Self-employed wihout any employee,Extended Family,7,1,2,2,Single house,"Light material (cogon,nipa,anahaw)",Light,11,10,1,Own or owner-like possession of house and lot,"Water-sealed, other depository, used exclusively by household",0,"Protected spring, river, stream, etc",0,0,0,0,0,0,0,0,0,0,0,0,0
1049,162456,Caraga,35453,Wage/Salaries,0,16176,9482,2650,4230,405,4240,0,0,0,1409,23220,6000,8358,4920,1248,0,11112,20500,0,0,Male,63,Married,High School Graduate,No Job/Business,,,Single Family,2,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,28,29,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,1,1,0,0,0,2,0,1,0,0
4093,212010,CAR,76087,Other sources of Income,0,20357,13980,17301,8073,4863,7039,2440,0,0,20253,63348,45000,17340,2388,3420,0,12336,3000,0,20985,Male,62,Married,High School Graduate,No Job/Business,,,Single Family,3,0,1,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,155,18,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,Peddler,1,0,0,0,0,0,0,0,2,0,0,0,0
5748,281082,III - Central Luzon,104785,Wage/Salaries,0,26004,20904,23000,8812,4327,7038,12480,0,16290,6050,35100,21000,16560,20004,5196,0,8676,1000,0,79010,Male,50,Married,High School Graduate,With Job/Business,"Crane, hoist and related plant operators",Worked for private establishment,Single Family,3,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,45,20,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,1,0,0,0,0,1,0,1,0,0
30710,112123,IVB - MIMAROPA,81853,Other sources of Income,0,31090,28082,1286,14624,1873,2160,18530,0,96,1850,16236,6000,1041,3360,840,1602,2442,0,6718,14298,Female,66,Widowed,Elementary Graduate,With Job/Business,Coconut farmers,Self-employed wihout any employee,Extended Family,7,0,4,0,Single house,Mixed but predominantly strong materials,Quite Strong,75,10,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,0,0,0,0,0,2,0,0,0,0
33725,64031,Caraga,54646,Enterpreneurial Activities,1,24868,21177,2180,10528,730,5340,2760,0,0,220,11652,2400,348,1056,216,1180,2370,200,9716,33971,Male,43,Married,Grade 2,With Job/Business,Coconut farmers,Self-employed wihout any employee,Single Family,5,0,3,1,Single house,"Light material (cogon,nipa,anahaw)",Light,30,22,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, shared with other household",1,"Own use, faucet, community water system",1,0,0,0,0,0,0,0,1,0,0,0,0
10137,160960,VII - Central Visayas,52339,Wage/Salaries,0,20478,7422,5170,7496,1275,5479,2225,0,0,1860,18378,12000,460,10812,1152,1849,6312,0,0,29520,Female,47,Widowed,First Year High School,With Job/Business,Market and sidewalk stall vendors,Self-employed wihout any employee,Single Family,5,0,2,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,19,15,1,Own or owner-like possession of house and lot,None,0,"Shared, faucet, community water system",0,0,0,0,0,0,0,0,0,0,0,0,0
38401,1041600,NCR,226468,Wage/Salaries,2,45456,25538,30716,23755,5387,8064,90440,0,0,26389,117174,66000,30319,144180,38178,73100,153024,12160,0,18100,Male,53,Married,Post Baccalaureate,With Job/Business,General secondary education teaching professionals,Worked for government/government corporation,Single Family,4,0,0,2,Multi-unit residential,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,80,30,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",2,1,1,1,1,2,1,1,4,4,1,0,0
